name,perhectare(price),
onion,32000
potato,96272.30
tomato,61000
rice,86071
lemon,50000
blackgram,41556
sugarcane,133762
maize,86524
groundnut,82256
jowar,51878
mango,26000
orange,61000
grapes,2036205.6
soyabean,35262.14
tobacco,63856.04
cotton,69200
bajra,17000
tur,7000
castor_seed,7000
safflower,5000
soyabean,35262.14
